"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 16 17:13:56 UZT 2025","Wed Apr 16 17:13:56 UZT 2025","84","Surefire suite","Surefire test","back.integration.card.cardLife.CardTest","back.integration.card.cardLife.CardTest","testPostAddCard","testPostAddCard",""
"passed","Wed Apr 16 17:13:52 UZT 2025","Wed Apr 16 17:13:53 UZT 2025","912","Surefire suite","Surefire test","back.integration.card.bankCardProducts.GetBankCardProductsTest","back.integration.card.bankCardProducts.GetBankCardProductsTest","getBankCardProduct","getBankCardProduct",""
"passed","Wed Apr 16 17:13:53 UZT 2025","Wed Apr 16 17:13:53 UZT 2025","285","Surefire suite","Surefire test","back.integration.card.bankCardProducts.GetBankCardProductsTest","back.integration.card.bankCardProducts.GetBankCardProductsTest","testAuthenticationFailure","testAuthenticationFailure",""
"passed","Wed Apr 16 17:13:54 UZT 2025","Wed Apr 16 17:13:54 UZT 2025","59","Surefire suite","Surefire test","back.integration.card.cardLife.CardTest","back.integration.card.cardLife.CardTest","getCardTypes","getCardTypes",""
"passed","Wed Apr 16 17:13:56 UZT 2025","Wed Apr 16 17:13:56 UZT 2025","59","Surefire suite","Surefire test","back.integration.card.cardLife.CardTest","back.integration.card.cardLife.CardTest","testGetOneCard","testGetOneCard",""
"passed","Wed Apr 16 17:13:55 UZT 2025","Wed Apr 16 17:13:55 UZT 2025","546","Surefire suite","Surefire test","back.integration.card.cardLife.CardTest","back.integration.card.cardLife.CardTest","testGetAllCards","testGetAllCards",""
"passed","Wed Apr 16 17:13:55 UZT 2025","Wed Apr 16 17:13:56 UZT 2025","64","Surefire suite","Surefire test","back.integration.card.cardLife.CardTest","back.integration.card.cardLife.CardTest","testGetCardPanBySmsInvalidCardId","testGetCardPanBySmsInvalidCardId",""
"passed","Wed Apr 16 17:13:54 UZT 2025","Wed Apr 16 17:13:55 UZT 2025","941","Surefire suite","Surefire test","back.integration.card.cardLife.CardTest","back.integration.card.cardLife.CardTest","getRefreshBalance","getRefreshBalance",""
"passed","Wed Apr 16 17:13:53 UZT 2025","Wed Apr 16 17:13:53 UZT 2025","175","Surefire suite","Surefire test","back.integration.card.bankCardProducts.GetBankCardProductsTest","back.integration.card.bankCardProducts.GetBankCardProductsTest","getOneCard","getOneCard",""
"passed","Wed Apr 16 17:13:53 UZT 2025","Wed Apr 16 17:13:54 UZT 2025","136","Surefire suite","Surefire test","back.integration.card.cardLife.CardTest","back.integration.card.cardLife.CardTest","checkGetCardTypeByPan","checkGetCardTypeByPan",""
"passed","Wed Apr 16 17:13:56 UZT 2025","Wed Apr 16 17:13:56 UZT 2025","143","Surefire suite","Surefire test","back.integration.card.cardLife.CardTest","back.integration.card.cardLife.CardTest","testGetRefreshBalanceInvalidEndpoint","testGetRefreshBalanceInvalidEndpoint",""
"passed","Wed Apr 16 17:13:54 UZT 2025","Wed Apr 16 17:13:54 UZT 2025","115","Surefire suite","Surefire test","back.integration.card.cardLife.CardTest","back.integration.card.cardLife.CardTest","getCardPanBySms","getCardPanBySms",""
"passed","Wed Apr 16 17:13:53 UZT 2025","Wed Apr 16 17:13:53 UZT 2025","61","Surefire suite","Surefire test","back.integration.card.cardLife.CardTest","back.integration.card.cardLife.CardTest","checkGetCardPan","checkGetCardPan",""
"passed","Wed Apr 16 17:13:55 UZT 2025","Wed Apr 16 17:13:55 UZT 2025","133","Surefire suite","Surefire test","back.integration.card.cardLife.CardTest","back.integration.card.cardLife.CardTest","testGetAllCardsInvalidToken","testGetAllCardsInvalidToken",""
"passed","Wed Apr 16 17:13:56 UZT 2025","Wed Apr 16 17:13:56 UZT 2025","64","Surefire suite","Surefire test","back.integration.card.cardLife.CardTest","back.integration.card.cardLife.CardTest","testPostAddCardInvalidRequestBody","testPostAddCardInvalidRequestBody",""
"passed","Wed Apr 16 17:13:56 UZT 2025","Wed Apr 16 17:13:56 UZT 2025","51","Surefire suite","Surefire test","back.integration.card.cardLife.CardTest","back.integration.card.cardLife.CardTest","testGetNonExistentEndpoint","testGetNonExistentEndpoint",""
